REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ONLINE_SALES,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
KEN,Kenya,2020-09,2020-09-01,WB_BPS_SIZE_M,Size: Medium (20-99),54.13,43.19,-34.01,69.55,-7.62,4.51,13.79,3.22,4.16,3.97333333333333,5.16,92.94,17.36,,,82.18,40.47,51.33,33.19,34.47,48.328,0.351144333849778,34.01,-0.561151211552244,0.000104123644408316,33.24
KEN,Kenya,2021-04,2021-04-01,WB_BPS_SIZE_M,Size: Medium (20-99),72.2,37.47,-32.36,83.21,11.25,23.75,23.57,22.2,24.51,12.8775,13.97,79.47,30.69,18.39,31.39,,,,,,,0.943539804804354,32.36,-0.0759651943182363,0.351144333849778,54.13
KEN,Kenya,2020-07,2020-07-01,WB_BPS_SIZE_MI,Size: Micro (0-4),17.49,,-61.2,93.56,,9.21,20.08,10.67,5.02,3.13,,,,,,,,,,,,,61.2,-0.0159827646353228,,17.49
KEN,Kenya,2020-09,2020-09-01,WB_BPS_SIZE_MI,Size: Micro (0-4),35.9,57.91,-43.2,79.48,-6.22,2.99,21.97,3.95,2.07,1.312,,,,,,66.49,17.7,49.01,34.01,31.25,39.692,,43.2,-0.250788990813885,,17.49
KEN,Kenya,2021-04,2021-04-01,WB_BPS_SIZE_MI,Size: Micro (0-4),53.7,31.52,-29.94,88.78,10.54,7.69,12.52,16.92,18.59,8.4375,,,,20.84,,,,,,,,,29.94,-0.294025458357761,,35.9
KEN,Kenya,2020-07,2020-07-01,WB_BPS_SIZE_S,Size: Small (5-19),21.82,72.02,-60.17,95.13,-18.24,17.38,28.75,17.07,10.76,3.72,7.47,35.62,7.32,,,,,,,,,-0.644609342593323,60.17,0.443078931731394,-0.644609342593323,21.82
KEN,Kenya,2020-09,2020-09-01,WB_BPS_SIZE_S,Size: Small (5-19),41.9,50.01,-39.46,73.37,-6.42,6.94,18.85,6.14,4.98,1.6325,4.09,85.26,11.43,,,81.98,30.52,53.68,38.84,28.11,46.626,0.0768987112323953,39.46,-0.34405378724592,-0.644609342593323,21.82
KEN,Kenya,2021-04,2021-04-01,WB_BPS_SIZE_S,Size: Small (5-19),57.66,32.37,-29.71,85.26,10.19,13.33,16.84,18,18.67,9.9675,8.85,63.86,28.26,20.27,,,,,,,,0.416282294939731,29.71,-0.236824439358236,0.0768987112323953,41.9
KGZ,Kyrgyz Republic,2020-08,2020-08-01,WB_BPS_SIZE_M,Size: Medium (20-99),15.49,43.38,-35.96,74.76,,38.91,28.45,31.11,25.6,7.715,5.59,51.8,14.08,,,,,,,,,-0.281355821894465,35.96,0.287339832817463,-0.281355821894465,15.49
KGZ,Kyrgyz Republic,2021-06,2021-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),8.36,26.67,-14.37,53.67,14.93,27.77,36.86,7.65,7.31,3.01,4.33,,,28.37,,,,,,,,-0.281355821894465,14.37,-0.415111917675498,-0.281355821894465,15.49
